Entity,Code,Year,Minimum wage (USD)
France,FRA,2000,
France,FRA,2001,
France,FRA,2002,
France,FRA,2003,
France,FRA,2004,
France,FRA,2005,
France,FRA,2006,
France,FRA,2007,
France,FRA,2008,
France,FRA,2009,
France,FRA,2010,
France,FRA,2011,
France,FRA,2012,
France,FRA,2013,
France,FRA,2014,
France,FRA,2015,
France,FRA,2016,
France,FRA,2017,
France,FRA,2018,
France,FRA,2019,
France,FRA,2020,
France,FRA,2021,
France,FRA,2022,
France,FRA,2023,
France,FRA,2024,
United Kingdom,GBR,2000,
United Kingdom,GBR,2001,
United Kingdom,GBR,2002,
United Kingdom,GBR,2003,
United Kingdom,GBR,2004,
United Kingdom,GBR,2005,
United Kingdom,GBR,2006,
United Kingdom,GBR,2007,
United Kingdom,GBR,2008,
United Kingdom,GBR,2009,
United Kingdom,GBR,2010,
United Kingdom,GBR,2011,
United Kingdom,GBR,2012,
United Kingdom,GBR,2013,
United Kingdom,GBR,2014,
United Kingdom,GBR,2015,
United Kingdom,GBR,2016,
United Kingdom,GBR,2017,
United Kingdom,GBR,2018,
United Kingdom,GBR,2019,
United Kingdom,GBR,2020,
United Kingdom,GBR,2021,
United Kingdom,GBR,2022,
United Kingdom,GBR,2023,
United Kingdom,GBR,2024,

