Entity,Code,Year,"Unemployment rate, ages 15-24"
France,FRA,2000,20.484
France,FRA,2001,17.91
France,FRA,2002,18.846
France,FRA,2003,17.178
France,FRA,2004,19.667
France,FRA,2005,21.225
France,FRA,2006,22.447
France,FRA,2007,19.644
France,FRA,2008,19.214
France,FRA,2009,24.006
France,FRA,2010,23.592
France,FRA,2011,23.018
France,FRA,2012,24.949
France,FRA,2013,24.363
France,FRA,2014,24.828
France,FRA,2015,25.262
France,FRA,2016,24.938
France,FRA,2017,22.572
France,FRA,2018,20.953
France,FRA,2019,19.929
France,FRA,2020,20.398
France,FRA,2021,19.252
France,FRA,2022,17.856
France,FRA,2023,17.419
France,FRA,2024,18.603
United Kingdom,GBR,2000,11.874
United Kingdom,GBR,2001,10.191
United Kingdom,GBR,2002,10.779
United Kingdom,GBR,2003,11.236
United Kingdom,GBR,2004,10.618
United Kingdom,GBR,2005,13.053
United Kingdom,GBR,2006,14.233
United Kingdom,GBR,2007,14.611
United Kingdom,GBR,2008,15.352
United Kingdom,GBR,2009,19.479
United Kingdom,GBR,2010,20.328
United Kingdom,GBR,2011,21.689
United Kingdom,GBR,2012,22.106
United Kingdom,GBR,2013,20.944
United Kingdom,GBR,2014,17.512
United Kingdom,GBR,2015,15.177
United Kingdom,GBR,2016,13.205
United Kingdom,GBR,2017,12.519
United Kingdom,GBR,2018,11.647
United Kingdom,GBR,2019,10.688
United Kingdom,GBR,2020,13.365
United Kingdom,GBR,2021,12.891
United Kingdom,GBR,2022,10.589
United Kingdom,GBR,2023,11.944
United Kingdom,GBR,2024,14.316
